chemsys,pair,source,ligand,delta_E,dip_cell_length,baseline_slope,IE_avg,IE_diff
V-Zr-O,V-Zr,Zr9V9O2_1217608_POSCAR,O,-1.682540435945942,12.3136584917,0.04349974,645.5,10.799999999999955
Sc-Zr-O,Sc-Zr,Zr25Sc6O59_686417_POSCAR,O,-0.7656138917983809,18.6866441621,0.03969898,636.6,7.0
Nb-Ni-O,Nb-Ni,Nb6Ni6O_541419_POSCAR,O,-0.6736869076334131,9.9013571389,0.03450829,694.6,85.0
Hf-Re-S,Hf-Re,Hf9Re4S_1399219_POSCAR,S,-0.6453948569173479,17.552238922,0.04489159,709.25,101.5
Mn-Ni-O,Mn-Ni,Mn_Ni9O10_2_758680_POSCAR,O,-0.6350591431579156,7.3689646528,0.05433035,727.2,19.800000000000068
W-Y-O,W-Y,Y10W2O21_556220_POSCAR,O,-0.6203389839486121,14.9012724,0.03060603,685.0,170.0
Pd-Zr-O,Pd-Zr,Zr4Pd2O_22479_POSCAR,O,-0.615224495228623,10.7236102353,0.03330229,722.25,164.29999999999995
Mo-Zr-S,Mo-Zr,Zr9Mo4S_1207420_POSCAR,S,-0.5950515038733954,12.268524156,0.02413065,662.2,44.19999999999993
V-Zr-S,V-Zr,Zr9V4S_9483_POSCAR,S,-0.5805452630366019,12.551663971,0.01643121,645.5,10.799999999999955
Mn-Ni-O,Mn-Ni,Mn3_Ni17O20_2_758834_POSCAR,O,-0.5713184989391659,7.3809747446,0.05210309,727.2,19.800000000000068
Ni-Ti-O,Ni-Ti,Ti4Ni2O_540679_POSCAR,O,-0.5654934752935433,9.7444386021,0.01816394,697.95,78.30000000000007
V-Zr-O,V-Zr,Zr3V3O_504834_POSCAR,O,-0.5611207212041216,10.6734252218,0.01703771,645.5,10.799999999999955
Ni-Ti-O,Ni-Ti,Ti3Ni3O_504735_POSCAR,O,-0.5502513196921284,9.4209163575,0.01876295,697.95,78.30000000000007
Mn-Ti-O,Mn-Ti,Ti3Mn3O_504732_POSCAR,O,-0.5482996504240986,9.8319117721,0.01872949,688.05,58.5
Ni-Ti-O,Ni-Ti,Ti4Ni2O_1217223_POSCAR,O,-0.5376940147995002,10.0237081748,0.01835363,697.95,78.30000000000007
Mn-Ti-O,Mn-Ti,Ti4Mn2O_1217173_POSCAR,O,-0.536739327151318,10.1929977382,0.01828976,688.05,58.5
Ti-Y-O,Ti-Y,Y16Ti16O35_685259_POSCAR,O,-0.5275801206245934,10.1077793366,0.02827343,629.4,58.799999999999955
Fe-Zr-S,Fe-Zr,Zr6FeS2_1207526_POSCAR,S,-0.5264480911261191,5.0141226635,0.0547722,701.3,122.39999999999998
Ni-Zr-O,Ni-Zr,Zr4Ni2O_21602_POSCAR,O,-0.5248567787815661,10.5980867994,0.01944633,688.6,97.0
Mo-Zr-O,Mo-Zr,Zr9Mo4O3_1207427_POSCAR,O,-0.5231745838516739,12.219475044,0.02867823,662.2,44.19999999999993
