pair,best_overall_delta_E,mean_overall_delta_E,n_total
V-Zr,-1.682540435945942,-0.4869031068242954,9
Sc-Zr,-0.7656138917983809,-0.28420598064057556,7
Nb-Ni,-0.6736869076334131,-0.2411573824267298,7
Hf-Re,-0.6453948569173479,-0.4260958545810233,3
Mn-Ni,-0.6350591431579156,-0.11291682540896232,25
W-Y,-0.6203389839486121,-0.14265991613854284,13
Pd-Zr,-0.615224495228623,-0.615224495228623,1
Mo-Zr,-0.5950515038733954,-0.5591130438625347,2
Ni-Ti,-0.5654934752935433,-0.17568755451660809,9
Mn-Ti,-0.5482996504240986,-0.1260007040239162,22
Ti-Y,-0.5275801206245934,-0.11572419366920011,17
Fe-Zr,-0.5264480911261191,-0.3474705304937802,2
Ni-Zr,-0.5248567787815661,-0.23594821396428844,4
Co-Zr,-0.5120746412862286,-0.24599014244986184,3
Fe-Ti,-0.5027603407092435,-0.08476319613290582,48
Co-Ti,-0.5019698615955894,-0.11433420122387816,8
Re-Zr,-0.4671945722415485,-0.4671945722415485,1
W-Zr,-0.4392086670004483,-0.4319094784451454,2
Cu-Ti,-0.436577353302924,-0.282002443796791,8
Hf-Mo,-0.4326762686599343,-0.4270602996346479,3
Hf-V,-0.4221111910890559,-0.4221111910890559,1
Hf-Sc,-0.4066038791663773,-0.2666985178105457,3
Sc-Ti,-0.4047621105822355,-0.16067851999425792,6
Hf-Zr,-0.3979379009292224,-0.2440241589313402,2
Fe-Y,-0.3939728826567863,-0.0833272719874749,16
