pair,O,S,best_of_both
V-Zr,-1.682540435945942,-0.5805452630366019,-1.682540435945942
Nb-Ni,-0.6736869076334131,-0.1340037573400173,-0.6736869076334131
Hf-Re,-0.3573132958079261,-0.6453948569173479,-0.6453948569173479
Mo-Zr,-0.5231745838516739,-0.5950515038733954,-0.5950515038733954
Ni-Ti,-0.5654934752935433,-0.0624949924181406,-0.5654934752935433
Ti-Y,-0.5275801206245934,-0.0601561340204611,-0.5275801206245934
Fe-Zr,-0.1684929698614413,-0.5264480911261191,-0.5264480911261191
Fe-Ti,-0.5027603407092435,-0.0553530618622368,-0.5027603407092435
Co-Ti,-0.5019698615955894,-0.0716295986660072,-0.5019698615955894
W-Zr,-0.4392086670004483,-0.4246102898898425,-0.4392086670004483
Cu-Ti,-0.436577353302924,-0.3193036842542144,-0.436577353302924
Hf-Mo,-0.4300564492163088,-0.4326762686599343,-0.4326762686599343
Y-Zr,-0.3597777701864945,-0.1132069125631041,-0.3597777701864945
Hf-W,-0.337457877800983,-0.3212614097832339,-0.337457877800983
Fe-Ni,-0.2260108003808495,-0.3277943305434015,-0.3277943305434015
Fe-Mn,-0.3220387144193555,-0.0244803560012959,-0.3220387144193555
Cr-Mn,-0.3170669570586604,-0.1040611192051136,-0.3170669570586604
Cu-Nb,-0.1101379469421615,-0.3036173486410566,-0.3036173486410566
Cd-Mn,-0.2906985595121067,-0.0411331133812255,-0.2906985595121067
Mn-Nb,-0.288855134739378,-0.1017802464092388,-0.288855134739378
Mn-Y,-0.2812557716728497,-0.1579882877097339,-0.2812557716728497
Cr-Y,-0.269368947980449,-0.2192342635108729,-0.269368947980449
Ti-V,-0.2435766555233249,-0.0595447188123604,-0.2435766555233249
Co-Ta,-0.1198146512849112,-0.22959019376602,-0.22959019376602
Cu-V,-0.2212687401050553,-0.0645274133348542,-0.2212687401050553
