chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,metal,ligand
Ti-O,Ti3O_1245140_POSCAR,35,local_max_drop,15.6594515541,-2.1655940549633,-0.5598279088167002,-1.6057661461466,14.039508,26.459073,0.03474972,Ti,O
Ti-O,Ti3O_1245176_POSCAR,35,local_max_drop,15.8280423853,-2.1683140458917,-0.5655365900003928,-1.602777455891307,14.190659,26.743934,0.03529048,Ti,O
Ti-O,Ti3O_1244956_POSCAR,35,local_max_drop,16.5855760455,-2.1044900212952,-0.5731651918850189,-1.531324829410181,14.869827,28.023904,0.03431724,Ti,O
Ti-O,Ti2O_1245186_POSCAR,35,local_max_drop,15.7968916122,-1.8991198357901,-0.5080360652142645,-1.3910837705758357,14.16273,26.6913,0.03195792,Ti,O
Ti-O,Ti2O_1245309_POSCAR,35,local_max_drop,16.1719757344,-1.9120784416738,-0.5302097699881742,-1.3818686716856257,15.016835,28.300958,0.03060985,Ti,O
Ti-O,Ti2O_1245066_POSCAR,35,local_max_drop,15.3345602303,-1.8988272218312,-0.5212124206477771,-1.3776148011834228,13.748226,25.910119,0.03378556,Ti,O
Ti-O,Ti2O_1245206_POSCAR,35,local_max_drop,15.7002614937,-1.8797256284916,-0.5292781811001239,-1.350447447391476,14.578814,27.475458,0.03166587,Ti,O
Ti-O,Ti2O_1244955_POSCAR,35,local_max_drop,16.1623987106,-1.8838729405441,-0.5462934186882922,-1.3375795218558078,15.007942,28.284198,0.03194968,Ti,O
Nb-S,Nb14S5_683941_POSCAR,35,local_max_drop,4.9286324035,-1.697372122885,-0.6131697306997568,-1.0842023921852433,4.248821,8.327689,0.1422477,Nb,S
Ti-O,TiO_1245294_POSCAR,35,local_max_drop,15.31471241,-1.2608821403681,-0.3836159605006687,-0.8772661798674314,13.730432,25.876583,0.02517216,Ti,O
Ti-O,TiO_1244944_POSCAR,35,local_max_drop,15.463252883,-1.2584854593046,-0.3855097654433623,-0.8729756938612376,13.863606,26.127565,0.02534916,Ti,O
Ti-O,TiO_1245141_POSCAR,35,local_max_drop,15.6586610308,-1.244778833053,-0.3786221758492049,-0.8661566572037951,14.0388,26.457738,0.02430591,Ti,O
Ti-O,TiO_1244926_POSCAR,35,local_max_drop,15.1174301533,-1.2543197941453,-0.3898730672469154,-0.8644467268983844,13.553558,25.543244,0.02638932,Ti,O
Ti-O,TiO_1245324_POSCAR,35,local_max_drop,15.0616903486,-1.2216638263225,-0.3721245470606077,-0.8495392792618922,13.503584,25.449063,0.02494386,Ti,O
Zr-S,Zr9S2_27191_POSCAR,35,local_max_drop,12.9443538584,-1.0237220959323,-0.3005776206041762,-0.7231444753281236,10.712569,21.871494,0.02608689,Zr,S
Ti-S,Ti8S3_680850_POSCAR,35,local_max_drop,14.8723153251,-0.9825625335827,-0.2756399136347896,-0.7069226199479104,13.810007,26.026552,0.01769467,Ti,S
V-O,V16O3_30064_POSCAR,35,local_max_drop,12.8122574755,-0.91470191704659,-0.2255405656008412,-0.6891613514457487,10.914145,23.251875,0.01692513,V,O
Y-O,Y2O3_1244949_POSCAR,35,local_max_drop,16.5300169137,-0.91676023835272,-0.2840635392433851,-0.6326966991093349,14.250015,27.930029,0.0188491,Y,O
Y-O,Y2O3_1245291_POSCAR,35,local_max_drop,17.1299577322,-0.91433370167584,-0.2833304403542502,-0.6310032613215898,14.767205,28.943722,0.01816541,Y,O
Y-O,Y2O3_1245017_POSCAR,35,local_max_drop,16.8067582914,-0.89582933175862,-0.2775504124955615,-0.6182789192630584,14.488585,28.397626,0.01805347,Y,O
