metal,ligand,n,best_delta_E,mean_delta_E,median_delta_E,std_delta_E
Zr,O,59,-1.682540435945942,-0.23750791943318042,-0.169649144409438,0.25255717530807936
Pd,O,5,-0.615224495228623,-0.19154250187850036,-0.0618063132235266,0.2500285543432014
Hf,O,21,-0.4300564492163088,-0.17022090680621327,-0.1440403583757137,0.1335013894777023
Re,O,12,-0.4671945722415485,-0.1674557499786874,-0.11938299059794225,0.12763932381439652
Ru,O,7,-0.2879931942107602,-0.16092650450373774,-0.135355661275624,0.07375515987498936
W,O,18,-0.6203389839486121,-0.15483490429183203,-0.0938696802699111,0.15542337087798944
Sc,O,54,-0.7656138917983809,-0.1535718066475487,-0.12294528063755605,0.12409414891240281
Y,O,178,-0.6203389839486121,-0.13182017954524813,-0.10983231105853805,0.0906758121717152
Ti,O,183,-0.5654934752935433,-0.12994915501913037,-0.092020353758054,0.12097943961590724
Ta,O,27,-0.3284532502194223,-0.12909288517273454,-0.100279573998758,0.0753806233249543
Ni,O,131,-0.6736869076334131,-0.1240572556299343,-0.0821212191147503,0.12422376039823868
Mo,O,21,-0.5231745838516739,-0.12383315757092421,-0.0855887297632437,0.14106750069979782
Nb,O,52,-0.6736869076334131,-0.11572048640047275,-0.08573422819755375,0.10419581971390642
V,O,167,-1.682540435945942,-0.11054147298180532,-0.0817229320213741,0.14010139038960556
Cu,O,84,-0.436577353302924,-0.10957466576662586,-0.08957979833600291,0.08738186660192311
Mn,O,305,-0.6350591431579156,-0.0977037818533351,-0.0728132613197234,0.08813077201755697
Zn,O,213,-0.3062771089390109,-0.09696277580622312,-0.089178095329634,0.05890185849527155
Pt,O,2,-0.1823870029823268,-0.09689495496187835,-0.09689495496187835,0.12090401378557011
Fe,O,255,-0.5027603407092435,-0.0946179634669109,-0.0820969202787327,0.08275236778991343
Cr,O,137,-0.3170669570586604,-0.08932458730318278,-0.0781743490559923,0.05767515168139801
Cd,O,33,-0.2906985595121067,-0.08798675643996526,-0.0798715249792069,0.0658984930205458
Co,O,153,-0.5120746412862286,-0.0862828247488937,-0.0693583822529112,0.07401600455282371
Ag,O,15,-0.315894335438202,-0.08159305906790268,-0.0715122487933031,0.07768678283989255
Rh,O,8,-0.1775776729703876,-0.0770367896941329,-0.06389141356561025,0.05758846729857226
Ir,O,1,-0.0657705862383914,-0.0657705862383914,-0.0657705862383914,
Hg,O,3,-0.1037741008874613,-0.06075959553341703,-0.0616763197386488,0.04348011605729318
Tc,O,4,-0.0819297982643207,-0.05606590755185897,-0.0635589418281476,0.028792698057088353
Re,S,2,-0.6453948569173479,-0.4948784133541204,-0.4948784133541204,0.21286239584728084
Hf,S,7,-0.6453948569173479,-0.3850613949418569,-0.4154520314460397,0.15887358256156675
Zr,S,6,-0.5950515038733954,-0.3770983446508959,-0.4755291905079808,0.24846488032291755
W,S,2,-0.4246102898898425,-0.3729358498365382,-0.3729358498365382,0.07307869395141842
Mo,S,6,-0.5950515038733954,-0.2969665988427461,-0.28208621690195085,0.21260046702225371
Au,S,1,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,
Pd,S,3,-0.246208325027202,-0.17802625901905023,-0.1543913083956805,0.05996603415773872
Rh,S,3,-0.246208325027202,-0.1724029645597391,-0.2131169344460084,0.10054734109438059
Sc,S,3,-0.2008001756728555,-0.14642572604927082,-0.1683033536113979,0.06800584767044165
Ta,S,10,-0.2339202903548504,-0.14321971109886875,-0.1261990931419014,0.05954244234418868
Ir,S,4,-0.1682599068354937,-0.13792377238654668,-0.14766971115468014,0.034617368234500845
Ag,S,2,-0.2131169344460084,-0.1366453564133602,-0.1366453564133602,0.10814714278984353
Fe,S,18,-0.5264480911261191,-0.13338498461150838,-0.10404099158971164,0.123610367428497
V,S,16,-0.5805452630366019,-0.12745913662529637,-0.07944932535174296,0.1530979335506084
Cu,S,15,-0.3193036842542144,-0.12745861914993423,-0.0935265457738414,0.07937623175477453
Zn,S,3,-0.1661361134571743,-0.10576633647731849,-0.0780217644925669,0.05233868191016642
Nb,S,34,-0.3036173486410566,-0.1043520345491935,-0.09696676171886964,0.0429170419444748
Ni,S,16,-0.3277943305434015,-0.102514394406281,-0.09305872481838115,0.07039806296472163
Y,S,13,-0.2192342635108729,-0.09438503498566332,-0.0932021970910662,0.0633588634511007
Ti,S,16,-0.3193036842542144,-0.09105932637072794,-0.07314221705784554,0.07217042139677705
Cr,S,14,-0.2192342635108729,-0.08638431989222202,-0.08684809623772005,0.059649279648323346
Co,S,12,-0.22959019376602,-0.08514946447759254,-0.07661840197345024,0.060464869715989564
Mn,S,15,-0.1683033536113979,-0.06856265332286617,-0.0746660644097606,0.05527153675839651
Cd,S,3,-0.0722700995035126,-0.03870942295574257,-0.0411331133812255,0.03483581455979146
